groupeEval,01-justification-modele-algo,02-codage-modele-algo,03-qualite-nommage-variable,04-precision-typage-variables,05-respect-conventions-nommage,06-pertinence-commentaires,07-choix-structures-controle,08-indentation
1,6,5,5,6,6,5,6,6
2,6,1,5,6,6,4,3,6
3,6,5,6,5,6,4,6,5
4,1,1,6,6,6,5,3,2
5,6,5,5,4,6,4,6,5
6,6,6,5,3,6,4,6,3
7,6,4,6,6,5,4,6,4
8,0,2,5,6,6,5,3,6
9,6,6,5,6,6,4,6,5
10,5,1,3,5,6,4,3,6
11,6,4,5,4,6,5,5,6
12,4,0,5,5,6,2,3,6
13,6,6,6,6,6,6,6,6
14,3,4,5,6,6,4,4,6
15,6,5,5,4,6,3,6,6
16,6,6,6,5,6,5,6,5
17,6,5,5,3,6,2,6,5
18,6,5,6,5,6,5,6,6
19,3,6,5,6,6,4,3,6
